input_name,total_occurrences
amount,8550
account,4967
_amount,4804
tokenid,4271
token,3786
to,3624
user,3041
_token,2408
_tokenid,2233
_user,2156
id,2032
_to,1833
data,1808
value,1750
recipient,1718
signature,1584
_account,1557
_address,1546
deadline,1465
owner,1374
params,1330
index,1308
receiver,1185
asset,1147
addr,986
_value,984
_id,978
name,974
from,967
_owner,946
pool,936
tokenids,898
_asset,846
amounts,805
_name,795
_index,787
_pid,786
_receiver,781
nonce,762
r,746
s,745
v,718
tokenaddress,714
tokens,707
_addr,693
_pool,649
amountin,646
_data,639
_recipient,598
proof,579
price,564
vault,560
sender,548
_from,543
_signature,542
order,533
poolid,531
target,520
_price,508
quantity,499
_fee,487
wallet,481
market,479
operator,471
timestamp,466
_symbol,465
_tokenids,463
key,457
fee,456
_amounts,443
path,431
symbol,427
ids,411
_market,409
status,408
accounts,407
_tokens,402
amountoutmin,390
shares,389
_vault,385
_status,385
salt,377
amount_,372
addresses,367
marketid,365
duration,362
tokenin,352
beneficiary,350
_tokenaddress,345
assets,340
_deadline,340
_nonce,327
tokenout,318
arg0,317
contractaddress,314
enabled,310
count,310
chainid,302
_chainid,294
merkleproof,293
_enabled,283
referrer,282
spender,282
holder,278
recipients,278
trader,276
_merkleproof,276
_proof,276
a,275
newaddress,274
borrower,272
tokenid_,270
epoch,265
vaultid,258
state,258
name_,257
useraddress,256
start,256
_borrower,255
tokenamount,255
_poolid,254
orderid,252
_collateral,252
_params,251
_wallet,251
newvalue,250
_strategy,248
_quantity,247
_target,246
sig,246
productid,245
_timestamp,245
_projectid,244
_settoken,241
collection,241
_duration,240
collateral,237
limit,236
amountout,235
values,234
staker,233
liquidity,230
message,230
expiry,228
_sender,228
proposalid,227
_state,227
_type,226
symbol_,226
currency,225
users,217
_contract,216
_orderid,216
requestid,211
_pairindex,210
signatures,210
role,204
positionid,202
hash,200
version,200
_ids,199
_router,199
newowner,197
_amountin,196
_trader,195
_beneficiary,195
_v,194
buyer,193
_addresses,191
_uri,191
nftid,191
fromtoken,190
_s,189
request,188
tokena,188
i,188
_r,187
who,182
token_,182
pairindex,182
period,181
numberoftokens,180
tokenb,180
minter,180
provider,180
_starttime,179
size,177
currencyid,177
_vaultid,175
_salt,175
owner_,174
_nftaddress,174
_bridgedata,173
_count,173
_islong,171
_operator,171
_key,170
assetid,169
_collection,169
starttime,168
nftcontract,167
_useraddress,167
strategy,167
_limit,166
_dstchainid,166
_referrer,166
reward,166
_proposalid,165
uri,165
adr,163
_swapdata,162
pair,162
_rewardtoken,162
tier,162
_lptoken,162
router,162
newfee,161
_manager,160
vaultaddress,160
_indextoken,159
gameid,158
_a,156
payload,156
end,156
maturity,156
x,156
time,156
_admin,155
position,155
calls,153
_shares,152
rate,152
_treasury,150
_positionid,150
signer,150
itemid,150
_tokenamount,148
creator,147
offset,147
projectid,147
manager,147
_pair,146
_epoch,145
_requestid,145
player,145
nftaddress,144
orders,144
pid,144
_rate,143
permit,143
idx,143
loanid,142
_playerid,141
underlying,141
_assets,140
token1,140
_loanid,139
_staker,139
input,139
accountid,138
islong,137
tokencontract,137
_users,137
_gauge,135
_nftid,135
base,135
fees,135
blocknumber,134
minamountout,134
_contractaddress,133
args,133
num,132
to_,132
totoken,132
round,131
roundid,131
flag,130
admin,130
_factory,130
quote,130
account_,130
referralcode,129
endtime,129
swapdata,129
allowed,128
config,128
basetoken,128
caller,127
level,126
_newaddress,125
token0,125
_endtime,124
_metadata,124
_merkleroot,124
_sizedelta,124
_marketid,124
_currency,123
_path,123
_posid,122
destination,122
_spender,122
_start,121
enable,119
leverage,119
newwallet,119
startindex,119
metadata,118
totalamount,117
factory,117
root,116
gauge,114
merkleroot,114
_period,113
percent,113
val,113
onbehalfof,113
y,112
rewardtoken,112
_oracle,112
streamid,112
amt,111
_config,111
_collateralindex,111
targets,111
_tokenout,110
_depositid,110
offerid,110
_nft,109
approved,109
minamount,109
node,109
_expiry,109
validatorid,109
_who,109
_rewards,109
_mintamount,108
_for,108
newprice,108
n,108
_hash,108
seller,107
_tier,107
listingid,107
_time,106
code,106
_decimals,106
b,106
controller,105
_allocpoint,104
reason,104
_player,103
_new,103
_message,103
tokenuri,103
_tokenin,102
gaslimit,102
t,101
profileid,100
collateraltoken,100
p,100
description,100
_lowerhint,99
selector,99
pools,99
_upperhint,99
depositor,99
active,99
referral,98
_max,96
adapter,96
auctionid,96
delegate,96
_minter,95
_holder,95
_fees,95
_collateraltoken,95
param,95
schainhash,95
_roundid,94
_slippage,94
ticklower,94
oracle,94
implementation,93
stable,93
_values,93
ref,93
edition,92
_accounts,92
tickupper,92
identifier,91
_keeper,91
_caller,91
erc20,90
_allowed,90
_tokenuri,90
priceupdatedata,90
serviceid,90
user_,90
_weth,89
_referral,89
_pools,89
_creator,89
_minout,88
_offset,87
lp,87
excluded,87
qty,86
m,86
nft,86
_gameid,85
_depositor,85
_tokencontract,85
wad,85
ctoken,85
strike,84
_nodeaddress,84
_recipients,84
usr,83
_feereceiver,83
_minamountout,83
_enable,83
affiliate,82
_campaignid,82
_end,82
_newowner,82
u,82
amounttokenmin,82
signature_,81
typeid,81
_assetid,81
_buyer,81
userdata,81
destinationchainid,80
_swap,80
campaignid,80
_percentage,80
address_,80
trade,80
nftids,80
amountinmax,79
_editionid,79
_root,78
_calldata,78
max,78
pooladdress,78
_percent,78
extradata,78
_flag,78
_leverage,78
_signatures,77
executor,77
addrs,77
_liquidity,77
decimals,77
currencykey,76
action,76
_executionfeereceiver,76
expiration,76
_prices,75
inputtoken,75
_extradata,75
_size,75
seed,75
order_,75
depositamount,75
outputtoken,75
_underlying,75
newlimit,75
_tokena,74
orderhash,74
_input,74
loan,74
exempt,74
_add,74
_reward,74
label,74
_tokenb,74
_reserve,74
borrowamount,73
currencyct,73
_toaddress,73
calldata,72
claim,72
_voter,72
_universe,72
_active,72
_seller,71
minreturn,71
maxsupply,71
_signer,71
_pooladdress,71
prices,71
_minamount,71
mode,71
numtokens,70
paymenttoken,70
_liquidityfee,70
_legoid,70
amount0,70
_blocknumber,70
threshold,70
baseuri,70
investor,70
policyid,70
_val,69
collateralamount,69
voter,69
req,69
index_,69
inputamount,69
tick,69
_threshold,69
_listingid,69
_supply,68
_version,68
eventid,68
_maxsupply,68
bridgerequest,68
amount1,68
ratio,68
vault_,67
feeamount,67
petid,67
_lp,67
depositid,67
trancheid,67
receivers,67
endindex,67
destinationaddress,67
_controller,67
receiver_,66
arg1,66
_token0,66
liquidator,66
_newfee,66
_isactive,66
subject,66
info,66
_round,65
_marketkey,65
source,65
interval,65
nodeindex,65
_stakingtoken,65
module,65
_refundaddress,65
supply,65
proxy,64
c,64
_destination,64
_tokenaddr,64
ordertype,64
_role,64
_gaslimit,63
value_,63
reserve,63
slippage,63
_ratio,63
_transactionid,63
questid,62
guardian,62
ilk,62
_claimer,62
ethamount,62
_member,62
hookdata,62
_totalsupply,62
_token1,62
owners,61
_offer,61
maker,61
resolver,61
_sig,61
assettoken,61
_cap,61
_multiplier,61
permitdata,61
fromamount,61
_paymenttoken,61
delegator,61
_reason,61
tokentype,61
indices,60
flags,60
_side,60
_strategist,60
newadmin,60
liquidityfee,60
